Unique_ID,Reporting_Label,Creative_Dimension,Start_Date,End_Date,CM_PlacementID,DV360_line_item_ID,Default,Active,Exit_URL,frame01a_img,frame01b_img,frame01_copy01,frame01_copy02,frame01_icon,frame01_frame,frame02_copy01,frame02_copy02,frame02_img,frame03_copy01,frame03_copy02,frame03_img,frame04_copy01,frame04_copy02,copy_frame04_from,copy_frame04_currency,copy_frame04_price,copy_frame04_pp,copy_frame04_package,copy_frame04_ends,endframe_copy01,endframe_copy02,cta_copy,terms_frame01,terms_frame02,terms_frame03,terms_frame04,frameTimes,showCopyDelays,copyAnimTypes,logoBA01Frames,logoBA02Frames,logoPartnersFrames,logoExtraFrames,img_logo_ba_01,img_logo_ba_02,img_logo_partners,img_logo_extra,img_replayBtn,loopingProps,css_overrides
10001,Middle_East_Cuppas_Lunches_300x250,300x250,01/01/2020T00:00:00+00:00,12/31/2021T00:00:00+00:00,,,FALSE,TRUE,http://www.ba.com,img_cuppas_131x168_x2.jpg,img_lunches_131x168_x2.jpg,TAKE OFF TO,QUICK<br>CUPPAS<div>LONG<br>LUNCHES</div>,ampersand_300x250_x2.gif,img_frame_Jansale2021_300x250.png,,,noImage.png,<div id='frame03_copy01a' style='right: 168px;'>BOOK<br>NOW</div><div id='frame03_copy01b' style='left: 175px;' >CHANGE<br>LATER</div>,WITH OUR FLEXIBLE<br>BOOKING OPTIONS,noImage.png,GREAT FARES TO,LONDON<div>BEYOND</div>,,,,,,,,,BOOK NOW,,,Terms apply.,Terms apply.,"4,0,4","0,0,.5,.5,.5,1,1,.5,.5,.5,.5,4.5,4.5,.5,.5,.5,1","10.5,11.5,12,f,f,f,f,f,f,f,f,f,f,f,f,f,99","true,true,true,true","false,false,false,false","false,false,true,true","false,false,false,false",logo_BA_Jansale2021_300x250_x2.png,noImage.png,logo_BA_partners_noATOL_300x250_x2.png,noImage.png,btnReplay_x2.png,"0,4,true","#frame04_copy01, #frame04_copy02, #frame03_copy01, .copy_price {color:#1255a3;} #frame01_copy01{letter-spacing:1.8px;top:101px} #frame01_copy02{left:-170px;letter-spacing:2.7px;font-size:17px;top:124px;line-height:1em; text-align:right;} #frame01_copy01,#frame01_copy02{text-shadow:0 0 4px rgba(0,0,0,0.3)} #frame01_copy02 div{left: 341px; text-align:left;} #frame03_copy02{top:174px;font-size:9.5px;letter-spacing:1.7px} #frame04_copy01{top: 73px;} #frame04_copy01,#frame04_copy02{left:1px;line-height:20px;font-size:10px;letter-spacing:2.3px;top:100px} #frame04_copy02{line-height:20px;font-size:22px;letter-spacing:2px;top:132px;text-align:left; left:21px;} #cta { top: 178px; } #frame04_copy02 div{position:absolute;top:0;right:43px} #frame01_icon.animateOff_F3{opacity:1!important} #frame01a_img_container,#frame01b_img_container{width:131px;height:168px; top:63px;} #frame01a_img_container{left:19px;} #frame01.animateOff{transition:opacity .5s 0s} .termsCopy{top:232px;left:unset;right:10px;text-align:right} #frame03_copy01b{top:-2px;} .ctaCopy{text-indent:2px;letter-spacing:2.5px}"
10002,Middle_East_RoofTops_CliffTops_300x250,300x250,01/01/2020T00:00:00+00:00,12/31/2021T00:00:00+00:00,,,FALSE,TRUE,http://www.ba.com,img_rooftops_131x168_x2.jpg,img_clifftops_131x168_x2.jpg,TAKE OFF TO,ROOFTOPS<div>CLIFFTOPS</div>,ampersand_300x250_x2.gif,img_frame_Jansale2021_300x250.png,,,noImage.png,<div id='frame03_copy01a' style='right: 168px;'>BOOK<br>NOW</div><div id='frame03_copy01b' style='left: 175px;' >CHANGE<br>LATER</div>,WITH OUR FLEXIBLE<br>BOOKING OPTIONS,noImage.png,GREAT FARES TO,LONDON<div>BEYOND</div>,,,,,,,,,BOOK NOW,,,Terms apply.,Terms apply.,"4,0,4","0,0,.5,.5,.5,1,1,.5,.5,.5,.5,4.5,4.5,.5,.5,.5,1","10.5,11.5,12,f,f,f,f,f,f,f,f,f,f,f,f,f,99","true,true,true,true","false,false,false,false","false,false,true,true","false,false,false,false",logo_BA_Jansale2021_300x250_x2.png,noImage.png,logo_BA_partners_noATOL_300x250_x2.png,/noImage.png,btnReplay_x2.png,"0,4,true","#frame04_copy01, #frame04_copy02, #frame03_copy01, .copy_price {color:#1255a3;} #frame01_copy01{letter-spacing:1.8px;top:101px} #frame01_copy02{left:30px;letter-spacing:2.7px;font-size:15px;top:136px} #frame01_copy01,#frame01_copy02{text-shadow:0 0 4px rgba(0,0,0,0.3)} #frame01_copy02 div{left: 138px;} #frame03_copy02{top:174px;font-size:9.5px;letter-spacing:1.7px} #frame04_copy01{top: 73px;} #frame04_copy01,#frame04_copy02{left:1px;line-height:20px;font-size:10px;letter-spacing:2.3px;top:100px} #frame04_copy02{line-height:20px;font-size:22px;letter-spacing:2px;top:132px;text-align:left; left:21px;} #cta { top: 178px; } #frame04_copy02 div{position:absolute;top:0;right:43px} #frame01_icon.animateOff_F3{opacity:1!important} #frame01a_img_container,#frame01b_img_container{width:131px;height:168px; top:63px;} #frame01a_img_container{left:19px;} #frame01.animateOff{transition:opacity .5s 0s} .termsCopy{top:232px;left:unset;right:10px;text-align:right} #frame03_copy01b{top:-2px;} .ctaCopy{text-indent:2px;letter-spacing:2.5px}"
10003,South_Africa_RoofTops_CliffTops_300x250,300x250,01/01/2020T00:00:00+00:00,12/31/2021T00:00:00+00:00,,,FALSE,TRUE,http://www.ba.com,img_rooftops_131x168_x2.jpg,img_clifftops_131x168_x2.jpg,TAKE OFF TO,ROOFTOPS<div>CLIFFTOPS</div>,ampersand_300x250_x2.gif,img_frame_Jansale2021_300x250.png,,,noImage.png,SALE NOW ON TO,LONDON<div>BEYOND</div><div id='frame04_copy02a'>SALE ENDS 31 JANUARY 2021</div>,noImage.png,<sup>*</sup>WITH OUR FLEXIBLE<br>&nbsp;BOOKING OPTIONS,BOOK<br>NOW<div>CHANGE<br>LATER</div>,,,,,,,,,BOOK NOW,,,T&Cs apply.,*Travel by 31 August 2021. T&Cs apply.,"4,0,4","0,0,.5,.5,.5,1,1,.5,.5,.5,.5,4.5,4.5,.5,.5,.5,1","10.5,11.5,12,f,f,f,f,f,f,f,f,f,f,f,f,f,99","true,true,true,true","false,false,false,false","false,false,true,true","false,false,false,false",logo_BA_Jansale2021_300x250_x2.png,noImage.png,logo_BA_partners_noATOL_300x250_x2.png,/noImage.png,btnReplay_x2.png,"0,4,true","#frame04_copy02, #frame03_copy01, #frame03_copy02, .copy_price {color:#ce210f;} #frame01_copy01{letter-spacing:1.8px;top:101px} #frame01_copy02{left:30px;letter-spacing:2.7px;font-size:15px;top:136px} #frame01_copy01,#frame01_copy02{text-shadow:0 0 4px rgba(0,0,0,0.3)} #frame01_copy02 div{left: 138px;} #frame03_copy02{top:174px;font-size:9.5px;letter-spacing:1.7px} #frame03_copy02 div{right:-145px!important;position:absolute!important} #frame04_copy01{top: 73px;} #frame04_copy01,#frame04_copy02{left:0px;line-height:15px;font-size:11px;letter-spacing:1.5px;top:85px} #frame03_copy02, #frame04_copy02{line-height:20px;font-size:17px;letter-spacing:3px;top:122px;text-align:left;left:-170px;text-align:right} #frame04_copy02a{top:54px!important;font-size:12px;letter-spacing:.08em;left:223px} #cta { top: 184px; left:99px; } #cta_bg{border-color:#ce210f;} .ctaCopy { color:#ce210f;} #container:active #cta_bg,#container:hover #cta_bg{background:#ce210f!important;border:1px solid #ce210f!important;} #frame03_copy02{top:133px;font-size:21px;left:-169px;letter-spacing:.11em} #frame03_copy02 div, #frame04_copy02 div{position:absolute;top:0;right:-136px;text-align:left} #frame01_icon.animateOff_F3{opacity:1!important} #frame01a_img_container,#frame01b_img_container{width:131px;height:168px; top:63px;} #frame01a_img_container{left:19px;} #frame01.animateOff{transition:opacity .5s 0s} .termsCopy{top:232px;left:unset;right:10px;text-align:right}  #frame03_copy01 { top:95px; font-size:17px; letter-spacing:0.11em; } #frame03_copy01b{top:-2px;} .ctaCopy{text-indent:2px; letter-spacing:2.5px}"
10004,South_Africa_Cuppas_Lunches_300x250,300x250,01/01/2020T00:00:00+00:00,12/31/2021T00:00:00+00:00,,,FALSE,TRUE,http://www.ba.com,img_cuppas_131x168_x2.jpg,img_lunches_131x168_x2.jpg,TAKE OFF TO,QUICK<br>CUPPAS<div>LONG<br>LUNCHES</div>,ampersand_300x250_x2.gif,img_frame_Jansale2021_300x250.png,,,noImage.png,SALE NOW ON TO,LONDON<div>BEYOND</div><div id='frame04_copy02a'>SALE ENDS 31 JANUARY 2021</div>,noImage.png,<sup>*</sup>WITH OUR FLEXIBLE<br>&nbsp;BOOKING OPTIONS,BOOK<br>NOW<div>CHANGE<br>LATER</div>,,,,,,,,,BOOK NOW,,,T&Cs apply.,*Travel by 31 August 2021. T&Cs apply.,"4,0,4","0,0,.5,.5,.5,1,1,.5,.5,.5,.5,4.5,4.5,.5,.5,.5,1","10.5,11.5,12,f,f,f,f,f,f,f,f,f,f,f,f,f,99","true,true,true,true","false,false,false,false","false,false,true,true","false,false,false,false",logo_BA_Jansale2021_300x250_x2.png,noImage.png,logo_BA_partners_noATOL_300x250_x2.png,/noImage.png,btnReplay_x2.png,"0,4,true","#frame04_copy02, #frame03_copy01, #frame03_copy02, .copy_price {color:#ce210f;} #frame01_copy01{letter-spacing:1.8px;top:101px} #frame01_copy02{left:-170px;letter-spacing:2.7px;font-size:17px;top:124px;line-height:1em; text-align:right;} #frame01_copy01,#frame01_copy02{text-shadow:0 0 4px rgba(0,0,0,0.3)} #frame01_copy02 div{left: 341px; text-align:left;} #frame03_copy02{top:174px;font-size:9.5px;letter-spacing:1.7px} #frame03_copy02 div{right:-145px!important;position:absolute!important} #frame04_copy01{top: 73px;} #frame04_copy01,#frame04_copy02{left:0px;line-height:15px;font-size:11px;letter-spacing:1.5px;top:85px} #frame03_copy02, #frame04_copy02{line-height:20px;font-size:17px;letter-spacing:3px;top:122px;text-align:left;left:-170px;text-align:right} #frame04_copy02a{top:54px!important;font-size:12px;letter-spacing:.08em;left:223px} #cta { top: 184px; left:99px; } #cta_bg{border-color:#ce210f;} .ctaCopy { color:#ce210f;} #container:active #cta_bg,#container:hover #cta_bg{background:#ce210f!important;border:1px solid #ce210f!important;} #frame03_copy02{top:133px;font-size:21px;left:-169px;letter-spacing:.11em} #frame03_copy02 div, #frame04_copy02 div{position:absolute;top:0;right:-136px;text-align:left} #frame01_icon.animateOff_F3{opacity:1!important} #frame01a_img_container,#frame01b_img_container{width:131px;height:168px; top:63px;} #frame01a_img_container{left:19px;} #frame01.animateOff{transition:opacity .5s 0s} .termsCopy{top:232px;left:unset;right:10px;text-align:right}  #frame03_copy01 { top:95px; font-size:17px; letter-spacing:0.11em; } #frame03_copy01b{top:-2px;} .ctaCopy{text-indent:2px; letter-spacing:2.5px}"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20001,Middle_East_Cuppas_Lunches_300x600,300x600,01/01/2020T00:00:00+00:00,12/31/2021T00:00:00+00:00,,,FALSE,TRUE,http://www.ba.com,img_cuppas_262x246_x2.jpg,img_lunches_262x243_x2.jpg,TAKE OFF TO,QUICK<br>CUPPAS<div>LONG<br>LUNCHES</div>,ampersand_300x600_x2.gif,img_frame_Jansale2021_300x600.png,,,noImage.png,<div id='frame03_copy01a' style='right: 168px;'>BOOK<br>NOW</div><div id='frame03_copy01b' style='left: 175px;' >CHANGE<br>LATER</div>,WITH OUR FLEXIBLE<br>BOOKING OPTIONS,noImage.png,GREAT FARES<br>TO LONDON,<div>BEYOND</div>,,,,,,,,,BOOK NOW,,,Terms apply.,Terms apply.,"4,0,4","0,0,.5,.5,.5,1,1,.5,.5,.5,.5,4.5,4.5,.5,.5,.5,1","10.5,11.5,12,f,f,f,f,f,f,f,f,f,f,f,f,f,99","true,true,true,true","false,false,false,false","false,false,true,true","false,false,false,false",logo_BA_Jansale2021_300x600_x2.png,noImage.png,logo_BA_partners_noATOL_300x600_x2.png,noImage.png,btnReplay_x2.png,"0,4,true","#frame04_copy01, #frame04_copy02, #frame03_copy01 {color:#1255a3;} #frame01_copy01 { top: 167px; left: 0; letter-spacing: 2.7px; font-size: 15px; line-height: 17px; } #frame01_copy02{top:196px;letter-spacing:5px; line-height:33px;} #frame01_copy02 div {margin-top:121px;} #frame01_copy01,#frame01_copy02{text-shadow:0 0 8px rgba(0,0,0,0.3)} #frame03_copy01{top:73px;left:1px}#frame03_copy01 div{margin:120px 0 0 2px} #frame04_copy01, #frame04_copy02 { top: 201px; left: 2px; font-size: 28px; line-height: 29px; letter-spacing: 4.6px; } #frame04_copy02 { top: 383px; } #cta { top: 482px; } .copy_divider{opacity:0} #frame01_icon.animateOff_F3{opacity:1!important} #frame01a_img_container,#frame01b_img_container{width:262px;height:243px;top:326px;} #frame01a_img_container{top:80px;height:246px} #frame01.animateOff{transition:opacity .5s 0s} .termsCopy { left:unset; right: 0px!important; margin-right:10px; text-align:right;  }  #frame03_copy02{top:474px;} "
20002,Middle_East_RoofTops_CliffTops_300x600,300x600,01/01/2020T00:00:00+00:00,12/31/2021T00:00:00+00:00,,,FALSE,TRUE,http://www.ba.com,img_rooftops_262x246_x2.jpg,img_clifftops_262x243_x2.jpg,TAKE OFF TO,ROOFTOPS<div>CLIFFTOPS</div>,ampersand_300x600_x2.gif,img_frame_Jansale2021_300x600.png,,,noImage.png,<div id='frame03_copy01a' style='right: 168px;'>BOOK<br>NOW</div><div id='frame03_copy01b' style='left: 175px;' >CHANGE<br>LATER</div>,WITH OUR FLEXIBLE<br>BOOKING OPTIONS,noImage.png,GREAT FARES<br>TO LONDON,<div>BEYOND</div>,,,,,,,,,BOOK NOW,,,Terms apply.,Terms apply.,"4,0,4","0,0,.5,.5,.5,1,1,.5,.5,.5,.5,4.5,4.5,.5,.5,.5,1","10.5,11.5,12,f,f,f,f,f,f,f,f,f,f,f,f,f,99","true,true,true,true","false,false,false,false","false,false,true,true","false,false,false,false",logo_BA_Jansale2021_300x600_x2.png,noImage.png,logo_BA_partners_noATOL_300x600_x2.png,noImage.png,btnReplay_x2.png,"0,4,true","#frame04_copy01, #frame04_copy02, #frame03_copy01 {color:#1255a3;} #frame01_copy01 { top: 200px; left: 0; letter-spacing: 2.7px; font-size: 15px; line-height: 17px; } #frame01_copy02{top:227px;letter-spacing:5px} #frame01_copy02 div {margin-top:119px;} #frame01_copy01,#frame01_copy02{text-shadow:0 0 8px rgba(0,0,0,0.3)} #frame03_copy01{top:73px;left:1px}#frame03_copy01 div{margin:120px 0 0 2px} #frame04_copy01, #frame04_copy02 { top: 201px; left: 2px; font-size: 28px; line-height: 29px; letter-spacing: 4.6px; } #frame04_copy02 { top: 383px; } #cta { top: 482px; } .copy_divider{opacity:0} #frame01_icon.animateOff_F3{opacity:1!important} #frame01a_img_container,#frame01b_img_container{width:262px;height:243px;top:326px;} #frame01a_img_container{top:80px;height:246px} #frame01.animateOff{transition:opacity .5s 0s} .termsCopy { left:unset; right: 0px!important; margin-right:10px; text-align:right;  }  #frame03_copy02{top:474px;} "
20003,South_Africa_RoofTops_CliffTops_300x600,300x600,01/01/2020T00:00:00+00:00,12/31/2021T00:00:00+00:00,,,FALSE,TRUE,http://www.ba.com,img_rooftops_262x246_x2.jpg,img_clifftops_262x243_x2.jpg,TAKE OFF TO,ROOFTOPS<div>CLIFFTOPS</div>,ampersand_300x600_x2.gif,img_frame_Jansale2021_300x600.png,,,noImage.png,<div id='frame03_copy01a' style='right: 168px;'>SALE NOW ON<br>TO LONDON</div><div id='frame03_copy01b' style='left: 175px;' >BEYOND</div>,SALE ENDS 31 JANUARY 2021,noImage.png,<sup>*</sup>WITH OUR FLEXIBLE<br>&nbsp;BOOKING OPTIONS,BOOK<br>NOW<div>CHANGE<br>LATER</div>,,,,,,,,,BOOK NOW,,,T&Cs apply.,*Travel by 31 August 2021. T&Cs apply.,"4,0,4","0,0,.5,.5,.5,1,1,.5,.5,.5,.5,4.5,4.5,.5,.5,.5,1","10.5,11.5,12,f,f,f,f,f,f,f,f,f,f,f,f,f,99","true,true,true,true","false,false,false,false","false,false,true,true","false,false,false,false",logo_BA_Jansale2021_300x600_x2.png,noImage.png,logo_BA_partners_noATOL_300x600_x2.png,noImage.png,btnReplay_x2.png,"0,4,true","#frame03_copy02, #frame04_copy02, #frame03_copy01 {color:#ce210f;} #frame01_copy01 { top: 200px; left: 0; letter-spacing: 2.7px; font-size: 15px; line-height: 17px; } #frame01_copy02{top:227px;letter-spacing:5px} #frame01_copy02 div {margin-top:119px;} #frame01_copy01,#frame01_copy02{text-shadow:0 0 8px rgba(0,0,0,0.3)} #frame03_copy01{top:80px;font-size:29px;letter-spacing:.13em;line-height:1.1em;left:1px;} #frame03_copy01 div{margin:120px 0 0 2px}  #frame03_copy01b{left:2px!important;position:relative;top:2px} #frame04_copy01{top:125px;left:-1px;font-size:13px;line-height:1.3em;letter-spacing:.18em} #frame04_copy02{left:3px;font-size:34px;line-height:33px;letter-spacing:4.6px;top:195px} #frame04_copy02 div{position:relative;top: 124px;} #cta { top: 491px; } #cta_bg{border-color:#ce210f} .ctaCopy{color:#ce210f} #container:active #cta_bg,#container:hover #cta_bg{background:#ce210f!important;border:1px solid #ce210f!important;} .copy_divider{opacity:0} #frame01_icon.animateOff_F3{opacity:1!important} #frame01a_img_container,#frame01b_img_container{width:262px;height:243px;top:326px;} #frame01a_img_container{top:80px;height:246px} #frame01.animateOff{transition:opacity .5s 0s} .termsCopy { left:unset; right: 0px!important; margin-right:10px; text-align:right;  }  #frame03_copy02{top:497px;font-size:13px;left:1px;letter-spacing:.17em} #frame01_icon{top:282px;} "
20004,South_Africa_Cuppas_Lunches_300x600,300x600,01/01/2020T00:00:00+00:00,12/31/2021T00:00:00+00:00,,,FALSE,TRUE,http://www.ba.com,img_cuppas_262x246_x2.jpg,img_lunches_262x243_x2.jpg,TAKE OFF TO,QUICK<br>CUPPAS<div>LONG<br>LUNCHES</div>,ampersand_300x600_x2.gif,img_frame_Jansale2021_300x600.png,,,noImage.png,<div id='frame03_copy01a' style='right: 168px;'>SALE NOW ON<br>TO LONDON</div><div id='frame03_copy01b' style='left: 175px;' >BEYOND</div>,SALE ENDS 31 JANUARY 2021,noImage.png,<sup>*</sup>WITH OUR FLEXIBLE<br>&nbsp;BOOKING OPTIONS,BOOK<br>NOW<div>CHANGE<br>LATER</div>,,,,,,,,,BOOK NOW,,,T&Cs apply.,*Travel by 31 August 2021. T&Cs apply.,"4,0,4","0,0,.5,.5,.5,1,1,.5,.5,.5,.5,4.5,4.5,.5,.5,.5,1","10.5,11.5,12,f,f,f,f,f,f,f,f,f,f,f,f,f,99","true,true,true,true","false,false,false,false","false,false,true,true","false,false,false,false",logo_BA_Jansale2021_300x600_x2.png,noImage.png,logo_BA_partners_noATOL_300x600_x2.png,noImage.png,btnReplay_x2.png,"0,4,true","#frame03_copy02, #frame04_copy02, #frame03_copy01 {color:#ce210f;} #frame01_copy01 { top: 167px; left: 0; letter-spacing: 2.7px; font-size: 15px; line-height: 17px; } #frame01_copy02{top:196px;letter-spacing:5px; line-height:33px;} #frame01_copy02 div {margin-top:121px;} #frame01_copy01,#frame01_copy02{text-shadow:0 0 8px rgba(0,0,0,0.3)} #frame03_copy01{top:80px;font-size:29px;letter-spacing:.13em;line-height:1.1em;left:1px;} #frame03_copy01 div{margin:120px 0 0 2px}  #frame03_copy01b{left:2px!important;position:relative;top:2px} #frame04_copy01{top:125px;left:-1px;font-size:13px;line-height:1.3em;letter-spacing:.18em} #frame04_copy02{left:3px;font-size:34px;line-height:33px;letter-spacing:4.6px;top:195px} #frame04_copy02 div{position:relative;top: 124px;} #cta { top: 491px; } #cta_bg{border-color:#ce210f} .ctaCopy{color:#ce210f} #container:active #cta_bg,#container:hover #cta_bg{background:#ce210f!important;border:1px solid #ce210f!important;} .copy_divider{opacity:0} #frame01_icon.animateOff_F3{opacity:1!important} #frame01a_img_container,#frame01b_img_container{width:262px;height:243px;top:326px;} #frame01a_img_container{top:80px;height:246px} #frame01.animateOff{transition:opacity .5s 0s} .termsCopy { left:unset; right: 0px!important; margin-right:10px; text-align:right;  }  #frame03_copy02{top:497px;font-size:13px;left:1px;letter-spacing:.17em} #frame01_icon{top:282px;} "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
